word	prefix	root	suffix
accéléra	a	célér	[VB]
acclimatement	a	climat	ment
accommodaient	a	commode	[VB]
accompagnement	a	compagne	ment
accordéon	a	corde	éon
accoster	a	cost	[VB]
accotement	a	côté	ment
accouplerait	a	coupl	[VB]
accoutumance	a	coutume	nce
accoutumé	a	coutume	[VB]
accrocha	a	croche	[VB]
accrochage	a	croche	age
accroissement	a	croître	ment
acculait	a	cul	[VB]
accumulant	a	cumuler	ant/ent
accumulation	a	cumuler	ion
acharnant	a	chair	ant/ent
adjugé	ad	juge	[VB]
adonner	a	don	[VB]
adossa	a	dos	[VB]
adouci	a	doux	[VB]
affabulation	a	fable	ion
affaibli	a	faible	[VB]
affamé	a	faim	[VB]
affermir	a	ferme	[VB]
affluant	a	flux	ant/ent
affluence	a	flux	nce
affola	a	fou	[VB]
affolement	a	fou	ment
affrétez	a	fret	[VB]
affriander	a	friand	[VB]
agenouilla	a	genou	[VB]
agrandi	a	grand	[VB]
agrégation	a	grèg	ion
agrégé	a	grèg	[VB]
agrippa	a	grippe	[VB]
ajournement	a	jour	ment
alchimiste	a	chimie	iste
alignement	a	ligne	ment
alliage	a	lier	age
alliance	a	lier	nce
allonge	a	long	[VB]
amaigri	a	maigre	[VB]
amassé	a	masser	[VB]
aménagé	a	ménage	[VB]
aménagement	a	ménage	ment
amenuisement	a	menuiser	ment
ameutât	a	meute	[VB]
amnésie	a	mnés	ie
amoché	a	moche	[VB]
amoncelaient	a	monceau	[VB]
amoncellement	a	monceau	ment
anachronique	ana	chrono	ique
anarchie	a	arche	ie
anarchique	a	arche	ique
anarchiste	a	arche	iste
anéanti	a	néant	[VB]
anémie	a	ém	ie
annihilent	a	nihil	[VB]
annotant	a	note	[VB]
annulation	a	nul	ion
anonymat	a	nyme	at
antiaméricain	anti	amérique	ain
antibiotiques	anti	bio	ique
antihistaminique	anti	histamin	ique
antinomique	anti	nome/ie	ique
antipathique	anti	pathe/ie	ique
antisémitisme	anti	sémite	isme
apaisa	a	paix	[VB]
appontement	a	pont	ment
apportant	a	porter	ant/ent
appréciable	a	prix	able
appréciant	a	prix	ant/ent
approfondir	a	profond	[VB]
approvisionnement	a	provision	ment
approvisionner	a	provision	[VB]
archevêché	arch	évêque	é
arrange	a	rang	[VB]
arrondi	a	rond	[VB]
asociaux	a	socio	al
assentiment	as	sentir	ment
assimilation	as	simil	ion
assimilé	as	simil	[VB]
association	as	socio	ion
assoiffé	as	soif	[VB]
assommait	as	somme	[VB]
assommant	as	somme	ant/ent
assommoir	as	somme	oir
assourdi	as	sourd	[VB]
assujettie	as	sujet	[VB]
assurance	as	sûr	nce
assurément	as	sûr	ément
attablait	a	table	[VB]
attarda	a	tard	[VB]
atténuantes	a	ténu	ant/ent
atterré	a	terr	[VB]
atterri	a	terre	[VB]
attitré	a	titre	[VB]
attristant	a	trist	ant/ent
attrouperaient	a	troup	[VB]
avenant	a	venir	ant/ent
avenir	a	venir	ir
avilir	a	vil	[VB]
aviva	a	vivre	[VB]
avoisinante	a	voisin	ant/ent
bicarbonate	bi	carbone	ate
bicyclette	bi	cycle	ette
biscornue	bis	corne	u
bisexué	bi	sexe	é
coaxiales	co	axe	al
coéquipier	co	équipe	ier
cohabitation	co	habiter	ion
coïncidences	co	ïncider	nce
collaboration	co	labor	ion
collabore	co	labor	[VB]
colocataire	co	louer	aire
compatriote	com	patrie	ote
complaisance	com	plaire	nce
compulsifs	com	puls	if
concassage	con	casser	age
condamnation	con	damner	ion
condensé	con	dense	[VB]
condescendance	con	descendre/te	nce
condescendant	con	descendre/te	ant/ent
conformant	con	forme	[VB]
conformisme	con	forme	isme
confraternelles	con	frère	el
confrérie	con	frère	ie
congélateur	con	gel	eur
congelé	con	gel	[VB]
congénères	con	gène	ère
conjointement	con	joindre	ment
conjonction	con	joindre	ion
connotations	con	note	ion
consécration	con	sacre	ion
consonance	con	son	nce
constellation	con	étoile	ion
constellé	con	étoile	[VB]
contenance	con	tenir	nce
conteneur	con	tenir	eur
contorsions	con	tordre	ion
contradiction	contre	dire	ion
contradictoire	contre	dire	oire
coopératif	co	opérer	if
débandade	dé	bande	ade
débaptisé	dé	baptême	is[VB]
débarcadère	dé	barque	adère
débarcadères	dé	barque	adères
débarquement	dé	barque	ment
débonnaire	dé	bonn	aire
débordement	dé	bord	ment
débouchage	dé	bouche	age
déboulai	dé	boule	[VB]
déboursera	dé	bourse	[VB]
déboussolé	dé	boussole	[VB]
débrouillard	dé	brouiller	ard
décachetais	dé	cachet	[VB]
décalquai	dé	calque	[VB]
décampe	dé	camp	[VB]
décati	dé	cat	[VB]
décharge	dé	charge	[VB]
déchéance	dé	choir	nce
déchiffrement	dé	chiffre	ment
déclassement	dé	classe	ment
déclassés	dé	classe	[VB]
déclencheur	dé	clenche	eur
décocha	dé	coche	[VB]
décodé	dé	code	[VB]
décoiffée	dé	coiffe	[VB]
décollage	dé	colle	age
décolleté	dé	col	let[VB]
décolorée	dé	couleur	[VB]
décommandai	dé	commande	[VB]
déconcerta	dé	concert	[VB]
déconcertant	dé	concert	ant/ent
déconfiture	dé	confit	ure
déconseille	dé	conseil	[VB]
déconstruction	dé	construire	ion
décontraction	dé	contrat	ion
déconvenue	dé	convenir	[VB]
découpage	dé	couper	age
décourage	dé	courage	[VB]
découvreurs	dé	couvr	eur
décrasse	dé	crasse	[VB]
décrispe	dé	crisper	[VB]
décrocha	dé	croche	[VB]
décrochage	dé	croche	age
décroissait	dé	croître	[VB]
décrottent	dé	crotte	[VB]
décrypter	dé	crypt	[VB]
dédaigneuse	dé	daigner	eux
dédommager	dé	dommage	[VB]
dédramatise	dé	drame	is[VB]
défaillance	dé	faille	nce
défaillent	dé	faille	[VB]
défaisait	dé	faire	[VB]
défaitiste	dé	faire	iste
défavorable	dé	faveur	able
défibrillateur	dé	fibrill	eur
défiguration	dé	figure	ion
déflagration	dé	flagr	ion
déformait	dé	forme	[VB]
déformation	dé	forme	ion
dégaine	dé	gain	[VB]
dégarni	dé	garn	[VB]
dégelée	dé	gel	[VB]
dégénérescence	dé	générer	nce
dégivrer	dé	givre	[VB]
dégomme	dé	gomm	[VB]
dégoupillée	dé	goupille	[VB]
dégourdir	dé	gourd	[VB]
dégoûtait	dé	goût	[VB]
dégoûtant	dé	goût	ant/ent
dégouttant	dé	goutte	ant/ent
dégradation	dé	grade	ion
dégueulasse	dé	gueul	asse
dégueuler	dé	gueul	[VB]
déhanchait	dé	hanche	[VB]
déhanchement	dé	hanche	ment
déjeunait	dé	jeûne	[VB]
délégation	dé	léguer	ion
délesté	dé	lest	[VB]
délibérations	dé	libre	ion
délibéré	dé	libre	[VB]
délibérément	dé	libre	ément
délimité	dé	limite	[VB]
déloger	dé	loge	[VB]
démantibule	dé	mandibule	[VB]
démaquillait	dé	maquiller	[VB]
démarchage	dé	marche	age
démarqué	dé	marque	[VB]
démasquage	dé	masque	age
déménagement	dé	ménage	ment
déménageur	dé	ménage	eur
démerde	dé	merde	[VB]
démesurément	dé	mesure	ément
déminer	dé	mine	[VB]
démineur	dé	mine	eur
démission	dé	mettre	ion
démobiliser	dé	mobile	is[VB]
démodé	dé	mode	[VB]
démonstratif	dé	montrer	if
démoralisée	dé	moral	is[VB]
dénégation	dé	nég	ion
déniché	dé	niche	[VB]
dénivelé	dé	niveau	[VB]
dénivellations	dé	niveau	ion
dénombrait	dé	nombre	[VB]
dénommé	dé	nom	[VB]
dénouement	dé	nou	ment
dénudé	dé	nu	[VB]
déodorants	dé	odeur	ant/ent
dépannage	dé	panne	age
dépanner	dé	panne	[VB]
dépareillés	dé	pareil	[VB]
dépaysant	dé	pays	[VB]
déperditions	dé	perdre	ion
dépeupler	dé	peuple	[VB]
dépistait	dé	piste	[VB]
déplaisant	dé	plaire	ant/ent
déposa	dé	poser	[VB]
déposition	dé	poser	ion
dépossession	dé	posséder	ion
dépoussiérant	dé	poussière	[VB]
dépréciée	dé	prix	[VB]
déraille	dé	railler	[VB]
dératisé	dé	rat	is[VB]
dérèglement	dé	règle	ment
dérider	dé	ride	[VB]
dérision	dé	rire	ion
dérisoire	dé	rire	oire
dérouille	dé	rouille	[VB]
déroulement	dé	rouler	ment
dérouté	dé	route	[VB]
désabusé	dé	abus	[VB]
désagrément	dé	agréer	ment
désamorcer	dé	amorce	[VB]
désapprobation	dé	approuver	ion
désarmait	dé	arme	[VB]
désarmante	dé	arme	ant/ent
désaxés	dé	axe	[VB]
descellées	dé	sceau	[VB]
désenchantement	dé	enchanter	ment
déséquilibré	dé	équilibre	[VB]
désespérance	dé	espoir	nce
déshonoré	dé	honneur	[VB]
désintéressait	dé	intérêt	[VB]
désintéressement	dé	intérêt	ment
désobéissance	dé	obéir	nce
désoeuvrement	dé	oeuvre	ment
désordonné	dé	ordre	onn[VB]
désorienta	dé	orient	[VB]
desséchante	dé	sec	ant/ent
détachement	dé	tache	ment
détonant	dé	ton	[VB]
détonation	dé	ton	ion
détourna	dé	tour	[VB]
détricoter	dé	tricot	[VB]
détrônât	dé	trône	[VB]
dévalisé	dé	valise	[VB]
dévalue	dé	valoir	[VB]
dévisage	dé	visage	[VB]
dévissable	dé	vis	able
dévoraient	dé	vore	[VB]
dévorante	dé	vore	ant/ent
dévouement	dé	vouer	ment
dévoyée	dé	voy	[VB]
dialectique	dia	lecte	ique
diffamation	dé	ffam	ion
discerner	dé	cerne	[VB]
discordants	dé	corde	ant/ent
discréditer	dé	crédit	[VB]
disjoncté	dé	joindre	[VB]
disjoncteur	dé	joindre	eur
disqualifiés	dé	qualité	ifi[VB]
dysfonctionnement	dys	fonction	ment
ébréché	é	brèche	[VB]
ébruite	é	bruit	[VB]
ébullition	é	bulle	ion
échaudés	é	chaud	[VB]
échevelée	é	cheveux	[VB]
éclaira	é	clair	[VB]
éclaireur	é	clair	eur
écoeurant	é	coeur	ant/ent
écoeurement	é	coeur	ment
écornée	é	corne	[VB]
écoulement	é	couler	ment
écria	é	cri	[VB]
écroulement	é	crouler	ment
effeuilla	é	feuille	[VB]
efflanqué	é	flanc	[VB]
égouttait	é	goutte	[VB]
élargi	é	large	[VB]
éloigna	é	loin	[VB]
élucider	é	lucide	[VB]
émarger	é	marge	[VB]
embarcation	en	barque	ion
embaumait	en	baume	[VB]
embêtait	en	bête	[VB]
embêtements	en	bête	ment
emboîtage	en	boîte	age
emboîtais	en	boîte	[VB]
emboîtement	en	boîte	ment
embourbé	en	bourbe	[VB]
embourgeoisés	en	bourg	ois
embouti	en	bout	[VB]
embranchement	en	branche	ment
embrassa	en	bras	[VB]
embrassades	en	bras	ade
embrouillage	en	brouiller	age
embrumé	en	brume	[VB]
embuer	en	buer	[VB]
émerveillait	é	merveille	[VB]
émerveillement	é	merveille	ment
émietta	é	miett	[VB]
émiettements	é	miett	ment
emmagasiné	en	magasin	[VB]
emmanchées	en	manche	[VB]
emmerdements	en	merde	ment
empaillée	en	paille	[VB]
empailleur	en	paille	eur
empeste	en	peste	[VB]
empierrait	en	pierre	[VB]
empila	en	pil	[VB]
empira	en	pire	[VB]
emplafonnée	en	plafond	[VB]
emplâtrais	en	plâtre	[VB]
empocha	en	poche	[VB]
empoisonnais	en	poison	[VB]
empoisonnement	en	poison	ment
emportement	en	porter	ment
emprisonnée	en	prison	[VB]
encadrement	en	cadre	ment
encadreur	en	cadre	eur
encerclaient	en	cercle	[VB]
enchaîna	en	chaîne	[VB]
enchaînement	en	chaîne	ment
enchérit	en	chér	[VB]
enclenchement	en	clenche	ment
encodé	en	code	[VB]
encollée	en	colle	[VB]
encolure	en	col	ure
encourage	en	courage	[VB]
encouragement	en	courage	ment
endettement	en	dette	ment
endiguer	en	digue	[VB]
endolori	en	douleur	[VB]
endommagé	en	dommage	[VB]
endosser	en	dos	[VB]
énerva	é	nerf	[VB]
enfiévré	en	fièvre	[VB]
enfila	en	fil	[VB]
enflamma	en	flamme	[VB]
engendre	en	gendre	[VB]
engouffra	en	gouffre	[VB]
engraisse	en	graisse	[VB]
engrangement	en	grange	ment
engueula	en	gueul	[VB]
enguirlandaient	en	guirlande	[VB]
enhardissent	en	hardi	[VB]
enivrait	en	ivre	[VB]
enjamba	en	jambe	[VB]
enjouement	en	jouer	ment
enrage	en	rage	[VB]
enregistrement	en	registre	ment
enregistreur	en	registre	eur
enrhumé	en	rhume	[VB]
enrichi	en	riche	[VB]
enrobait	en	robe	[VB]
enrôler	en	rôle	[VB]
enroula	en	rouler	[VB]
ensablement	en	sable	ment
ensemença	en	semence	[VB]
ensoleilla	en	soleil	[VB]
ensommeillée	en	sommeil	[VB]
enterrâmes	en	terre	[VB]
enterrement	en	terre	ment
entêtait	en	tête	[VB]
entêtant	en	tête	ant/ent
entêtement	en	tête	ment
entonna	en	ton	[VB]
entoura	en	tour	[VB]
entournures	en	tour	ure
entrebâillement	entre	bâiller	ment
entrechoquaient	entre	choc	[VB]
entrecoupé	entre	couper	[VB]
entrecroisaient	entre	croix	[VB]
entuber	en	tube	[VB]
enturbannées	en	turban	[VB]
énumérait	é	numéro	[VB]
énumération	é	numéro	ion
envisage	en	visage	[VB]
envola	en	vol	[VB]
éperdument	é	perdre	ment
épuration	é	pur	ion
éradiquer	é	radic	[VB]
essouffle	é	souffle	[VB]
essoufflement	é	souffle	ment
étendard	é	tendre	ard
étira	é	tir	[VB]
euphémisme	eu	phém	isme
éventré	é	ventre	[VB]
éventreur	é	ventre	eur
évidé	é	vide	[VB]
éviscère	é	viscères	[VB]
excavateurs	ex	cave	eur
excroissance	ex	croître	nce
exorbitante	ex	orbite	ant/ent
exorbités	ex	orbite	[VB]
expulse	ex	puls	[VB]
expulsion	ex	puls	ion
exténué	ex	ténu	[VB]
extraction	ex	traire	ion
extraordinairement	extra	ordinaire	ment
hémiplégique	hémi	plég	ique
hypothétique	hypo	thèse	ique
ignominieuse	in	nom	eux
illégalement	in	légal	ment
illimité	in	limite	[VB]
imbattable	in	battre	able
immatériel	in	matière	el
immatriculation	in	matricule	ion
immémorial	in	mémoire	al
immigration	in	migrer	ion
immoralisme	in	moral	isme
immoralité	in	moral	ité
immortel	in	mort	el
immuable	in	mouvoir	able
impalpable	in	palper	able
impardonnable	in	pardon	able
impatiemment	in	patient	ment
impénétrable	in	pénétr	able
imperfections	in	parfait	ion
impérissable	in	périr	able
imperméable	in	permé	able
impersonnel	in	personne	el
impertinence	in	pertinent	nce
impitoyable	in	pitié	able
implacables	in	plaque	bles
implanté	in	plante	[VB]
implosives	in	plos	if
impolitesse	in	polir	esse
importation	in	porter	ion
imprescriptibles	in	prescrire	able
imprenable	in	prendre	able
imprudent	in	prud	ant/ent
impudente	in	pudeur	ant/ent
impudeur	in	pudeur	eur
impuissant	in	pouvoir	ant/ent
impulsion	in	puls	ion
impubliables	in	publi	able
impureté	in	pur	ité
imputrescible	in	pourrir	able
inacceptable	in	accepter	able
inaccessible	in	accès	able
inaction	in	acte	ion
inadmissible	in	admettre	able
inaltérable	in	altérer	able
inaptitude	in	apte	ude
inassouvissables	in	assouvir	able
inattaquable	in	attaque	able
inavouable	in	avouer	able
incarnaient	in	carni	[VB]
incassable	in	casser	able
incertain	in	certes	ain
incessant	in	céder	ant/ent
inclination	in	clin	ion
incommodée	in	commode	[VB]
incomparable	in	comparer	able
incompétence	in	compétent	nce
inconcevable	in	concevoir	able
inconciliables	in	concile	able
inconscience	in	conscient	nce
incontrôlable	in	contrôl	able
inconvénient	in	convenir	ant/ent
incorporation	in	corps	ion
incrédule	in	créd	ule
increvable	in	crever	able
incroyable	in	croire	able
inculpation	in	coupable	ion
incurvées	in	courbe	[VB]
indécence	in	décent	nce
indécision	in	décider	ion
indéfiniment	in	définir	ment
indéfinissable	in	définir	able
indéniable	in	déni	able
indépendance	in	dépendre	nce
indépendant	in	dépendre	ant/ent
indestructible	in	détruire	able
indicible	in	dic	able
indifférence	in	différer	nce
indifférent	in	différer	ant/ent
indigestion	in	digérer	ion
indiscrétion	in	discret	ion
indispensable	in	dispenser	able
indistinctement	in	distinct	ment
indivisible	in	diviser	able
indolente	in	douleur	ant/ent
indolore	in	douleur	ore
indomptable	in	dompter	able
inducteur	in	duct	eur
ineffaçable	in	effaç	able
inégalement	in	égal	ment
inégalité	in	égal	ité
inestimable	in	estim	able
inexistence	in	exister	nce
inexorable	in	exor	able
inexplicable	in	expliquer	able
inexpressif	in	exprimer	if
inextricable	in	extriquer	able
infaillible	in	faille	able
infatigable	in	fatig	able
infidélité	in	fidèle	ité
infiltrait	in	filtre	[VB]
infiltration	in	filtre	ion
infinie	in	fin	ie
infinité	in	fin	ité
inflexible	in	flex	able
inflexion	in	flex	ion
infranchissable	in	franchir	able
ingénieur	in	génie	eur
ingénieux	in	génie	eux
ingratitude	in	grâce	ude
inguérissable	in	guérir	able
ingurgiter	in	gorge	it[VB]
inhabituel	in	habitude	el
inhumation	in	humer	ion
inimaginable	in	imaginer	able
inimitable	in	imiter	able
inintelligible	in	intellect	able
injustement	in	juste	ment
injustice	in	juste	ice
innombrable	in	nombre	able
innommable	in	nom	able
innovateur	in	nouveau	eur
innovation	in	nouveau	ion
inopérables	in	opérer	able
inopinément	in	opin	ément
inopportunité	in	opportun	ité
inoubliable	in	oubli	able
insanités	in	sain	ités
insatiable	in	sati	able
insécable	in	séc	able
insécurité	in	sécure	ité
insolation	in	sol	ion
insomnie	in	sommeil	ie
insouciance	in	souci	nce
insouciant	in	souci	ant/ent
insubordination	in	ordonner	ion
insuffisant	in	suffire	ant/ent
insupportable	in	support	able
interaction	inter	acte	ion
intercontinentaux	inter	continent	al
intercostaux	inter	cost	al
interculturel	inter	culture	el
intergalactique	inter	galaxie	ique
interlocuteur	inter	locut	eur
interloqué	inter	locut	[VB]
intermédiaire	inter	médi	aire
interminable	in	terminer	able
interplanétaire	inter	planète	aire
interstellaire	inter	étoile	aire
intimidation	in	timide	ion
intolérable	in	tolérer	able
intouchable	in	toucher	able
intraitable	in	traiter	able
intransigeance	in	transiger	nce
intransigeant	in	transiger	ant/ent
introuvable	in	trouver	able
intubation	in	tube	ion
inusable	in	user	able
invalidation	in	valide	ion
invisible	in	voir	able
involontaire	in	volonté	aire
invulnérable	in	vulnérer	able
inexactitude	in	exact	ude
irraisonnable	in	raison	able
irréalité	in	réel	ité
irrécupérable	in	récupér	able
irréfutable	in	réfuter	able
irrémédiable	in	remède	able
irremplaçable	in	remplaç	able
irréprochable	in	reproche	able
irrespirable	in	respirer	able
irresponsabilité	in	responsable	ité
irréversible	in	revers	able
juxtapositions	juxta	poser	ion
mécontentement	mé	content	ment
mécontentés	mé	content	[VB]
médisant	mé	dire	ant/ent
méprisable	mé	prendre	able
méprisaient	mé	prendre	[VB]
monogamie	mono	gam	ie
mononucléose	mono	nuclé	ose
monosyllabiques	mono	syllabe	ique
parachutiste	para	chute	iste
paraphrasé	para	phrase	[VB]
péninsulaires	pén	île	aire
permutation	per	muter	ion
précautionneux	pré	caution	eux
préchauffer	pré	chaud	[VB]
précurseur	pré	curs	eur
prédiction	pré	dict	ion
préhistorien	pré	histoire	ien
préhistorique	pré	histoire	ique
prélasseront	pré	las	[VB]
prélèvement	pré	lever	ment
prématurément	pré	mature	ément
préméditation	pré	méditer	ion
prénommât	pré	nom	[VB]
prérogatives	pré	rog	if
présélection	pré	sélect	ion
prévision	pré	voir	ion
prévoyance	pré	voy	nce
proclamation	pro	clamer	ion
procréation	pro	créer	ion
rabougri	re	bougre	[VB]
racontes	re	conte	[VB]
ragaillardi	re	gaillard	[VB]
rajoutait	re	ajout	[VB]
rebondir	re	bond	[VB]
reboucla	re	boucle	[VB]
reboutonné	re	bouton	[VB]
recalcule	re	calcul	[VB]
recaserai	re	case	[VB]
recentrée	re	centre	[VB]
recharger	re	charge	[VB]
recoiffa	re	coiffe	[VB]
recoller	re	colle	[VB]
réconcilié	re	concile	[VB]
réconfortait	re	confort	[VB]
recourbé	re	courbe	[VB]
recroise	re	croix	[VB]
reculotta	re	culotte	[VB]
recycler	re	cycle	[VB]
rediffusent	re	diffuser	[VB]
redonnait	re	don	[VB]
redoubla	re	double	[VB]
redoutable	re	doute	able
réexaminée	re	examen	[VB]
refluait	re	flux	[VB]
réforma	re	forme	[VB]
régénérateur	re	générer	eur
regrouper	re	groupe	[VB]
réintégrait	re	intègre	[VB]
relooker	re	look	[VB]
remaillés	re	maille	[VB]
remarche	re	marche	[VB]
remarié	re	mari	[VB]
remarqua	re	marque	[VB]
remémorer	re	mémoire	[VB]
renommée	re	nom	[VB]
repêché	re	pêche	[VB]
replaça	re	place	[VB]
replanter	re	plante	[VB]
resplendissait	re	splend	[VB]
ressemellent	re	semelle	[VB]
restructurer	re	structure	[VB]
retaillées	re	taille	[VB]
retapé	re	tape	[VB]
retapissé	re	tapis	[VB]
retourna	re	tour	[VB]
retravailler	re	travail	[VB]
retroussait	re	trousse	[VB]
réutiliser	re	utile	is[VB]
réveilla	re	éveil	[VB]
saupoudra	sau	poudre	[VB]
séjournait	sé	jour	[VB]
soulignaient	sous	ligne	[VB]
soutirées	sous	tir	[VB]
subodorais	sub	odeur	[VB]
superviser	super	voir	[VB]
suppuraient	su	pus	[VB]
surajouter	sur	ajout	er
surchargé	sur	charge	[VB]
surchauffé	sur	chaud	[VB]
surclasserait	sur	classe	[VB]
surgelée	sur	gel	[VB]
surplomba	sur	plomb	[VB]
surprotecteur	sur	protéger	eur
sursauta	sur	saut	[VB]
sympathique	syn	pathe/ie	ique
transbahute	trans	bahut	[VB]
transborder	trans	bord	[VB]
transcontinental	trans	continent	al
transformer	trans	forme	[VB]
tressauta	tres	saut	[VB]
tripartite	tri	partir	ite
