word	lemma	tense	nonfinite	singular-number	third-person	imperative-subjunctive	participle
incased	incase	PST	0	0	0	0	0
overmarches	overmarch	PRS	0	1	1	0	0
overmarched	overmarch	PST	0	0	0	0	1
allergizes	allergize	PRS	0	1	1	0	0
allergizing	allergize	PRS	0	0	0	0	1
allergized	allergize	PST	0	0	0	0	0
allergized	allergize	PST	0	0	0	0	1
smakes	smake	PRS	0	1	1	0	0
smaking	smake	PRS	0	0	0	0	1
smaked	smake	PST	0	0	0	0	0
smaked	smake	PST	0	0	0	0	1
pungling	pungle	PRS	0	0	0	0	1
pungled	pungle	PST	0	0	0	0	1
mercifies	mercify	PRS	0	1	1	0	0
mercifying	mercify	PRS	0	0	0	0	1
mercified	mercify	PST	0	0	0	0	1
caveats	caveat	PRS	0	1	1	0	0
caveating	caveat	PRS	0	0	0	0	1
caveated	caveat	PST	0	0	0	0	1
stonewalls	stonewall	PRS	0	1	1	0	0
stonewalling	stonewall	PRS	0	0	0	0	1
stonewalled	stonewall	PST	0	0	0	0	0
stonewalled	stonewall	PST	0	0	0	0	1
unsleeps	unsleep	PRS	0	1	1	0	0
unslept	unsleep	PST	0	0	0	0	0
unslept	unsleep	PST	0	0	0	0	1
upswells	upswell	PRS	0	1	1	0	0
upswelling	upswell	PRS	0	0	0	0	1
upswelled	upswell	PST	0	0	0	0	1
undumpished	undumpish	PST	0	0	0	0	0
trailers	trailer	PRS	0	1	1	0	0
overnimming	overnim	PRS	0	0	0	0	1
aromatizes	aromatize	PRS	0	1	1	0	0
aromatizing	aromatize	PRS	0	0	0	0	1
aromatized	aromatize	PST	0	0	0	0	1
effodicating	effodicate	PRS	0	0	0	0	1
effodicated	effodicate	PST	0	0	0	0	1
ubiquitylates	ubiquitylate	PRS	0	1	1	0	0
ubiquitylated	ubiquitylate	PST	0	0	0	0	1
leads	lead	PRS	0	1	1	0	0
leading	lead	PRS	0	0	0	0	1
leaded	lead	PST	0	0	0	0	0
untimes	untime	PRS	0	1	1	0	0
untiming	untime	PRS	0	0	0	0	1
untimed	untime	PST	0	0	0	0	0
untimed	untime	PST	0	0	0	0	1
retackles	retackle	PRS	0	1	1	0	0
retackling	retackle	PRS	0	0	0	0	1
retackled	retackle	PST	0	0	0	0	0
reinsulates	reinsulate	PRS	0	1	1	0	0
reinsulating	reinsulate	PRS	0	0	0	0	1
carnifying	carnify	PRS	0	0	0	0	1
carnified	carnify	PST	0	0	0	0	0
doses	dose	PRS	0	1	1	0	0
dosed	dose	PST	0	0	0	0	0
dosed	dose	PST	0	0	0	0	1
chinwagging	chinwag	PRS	0	0	0	0	1
chinwagged	chinwag	PST	0	0	0	0	0
chinwagged	chinwag	PST	0	0	0	0	1
farspeaking	farspeak	PRS	0	0	0	0	1
inbends	inbend	PRS	0	1	1	0	0
euphuises	euphuise	PRS	0	1	1	0	0
euphuised	euphuise	PST	0	0	0	0	0
euphuised	euphuise	PST	0	0	0	0	1
brainwipes	brainwipe	PRS	0	1	1	0	0
brainwiping	brainwipe	PRS	0	0	0	0	1
brainwiped	brainwipe	PST	0	0	0	0	1
tarmacking	tarmac	PRS	0	0	0	0	1
tarmacked	tarmac	PST	0	0	0	0	1
slounged	slounge	PST	0	0	0	0	0
slounged	slounge	PST	0	0	0	0	1
natters	natter	PRS	0	1	1	0	0
nattering	natter	PRS	0	0	0	0	1
nattered	natter	PST	0	0	0	0	0
nattered	natter	PST	0	0	0	0	1
forthleaps	forthleap	PRS	0	1	1	0	0
forthleaping	forthleap	PRS	0	0	0	0	1
forthleapt	forthleap	PST	0	0	0	0	0
clattawa-ing	clattawa	PRS	0	0	0	0	1
clattawa-ed	clattawa	PST	0	0	0	0	0
mountaineers	mountaineer	PRS	0	1	1	0	0
mountaineering	mountaineer	PRS	0	0	0	0	1
mountaineered	mountaineer	PST	0	0	0	0	1
dulcifies	dulcify	PRS	0	1	1	0	0
dulcifying	dulcify	PRS	0	0	0	0	1
dulcified	dulcify	PST	0	0	0	0	0
dulcified	dulcify	PST	0	0	0	0	1
deposes	depose	PRS	0	1	1	0	0
deposing	depose	PRS	0	0	0	0	1
arouses	arouse	PRS	0	1	1	0	0
aroused	arouse	PST	0	0	0	0	1
propagates	propagate	PRS	0	1	1	0	0
propagating	propagate	PRS	0	0	0	0	1
propagated	propagate	PST	0	0	0	0	1
decores	decore	PRS	0	1	1	0	0
decoring	decore	PRS	0	0	0	0	1
wardened	warden	PST	0	0	0	0	0
semilikes	semilike	PRS	0	1	1	0	0
semiliked	semilike	PST	0	0	0	0	0
cretifying	cretify	PRS	0	0	0	0	1
cretified	cretify	PST	0	0	0	0	0
cretified	cretify	PST	0	0	0	0	1
emendicated	emendicate	PST	0	0	0	0	0
emendicated	emendicate	PST	0	0	0	0	1
bitters	bitter	PRS	0	1	1	0	0
bittered	bitter	PST	0	0	0	0	0
polymorphs	polymorph	PRS	0	1	1	0	0
polymorphing	polymorph	PRS	0	0	0	0	1
polymorphed	polymorph	PST	0	0	0	0	0
degunking	degunk	PRS	0	0	0	0	1
degunked	degunk	PST	0	0	0	0	0
solutionizes	solutionize	PRS	0	1	1	0	0
solutionizing	solutionize	PRS	0	0	0	0	1
jacobinising	jacobinise	PRS	0	0	0	0	1
jacobinised	jacobinise	PST	0	0	0	0	1
trues	TRUE	PRS	0	1	1	0	0
trued	TRUE	PST	0	0	0	0	0
trued	TRUE	PST	0	0	0	0	1
hullaballoos	hullaballoo	PRS	0	1	1	0	0
hullaballooing	hullaballoo	PRS	0	0	0	0	1
hullaballooed	hullaballoo	PST	0	0	0	0	0
restitches	restitch	PRS	0	1	1	0	0
restitching	restitch	PRS	0	0	0	0	1
restitched	restitch	PST	0	0	0	0	0
februates	februate	PRS	0	1	1	0	0
februated	februate	PST	0	0	0	0	0
advaunces	advaunce	PRS	0	1	1	0	0
advauncing	advaunce	PRS	0	0	0	0	1
advaunced	advaunce	PST	0	0	0	0	1
lodges	lodge	PRS	0	1	1	0	0
lodging	lodge	PRS	0	0	0	0	1
lodged	lodge	PST	0	0	0	0	1
snouts	snout	PRS	0	1	1	0	0
snouting	snout	PRS	0	0	0	0	1
snouted	snout	PST	0	0	0	0	0
snouted	snout	PST	0	0	0	0	1
gregarizes	gregarize	PRS	0	1	1	0	0
gregarized	gregarize	PST	0	0	0	0	0
gregarized	gregarize	PST	0	0	0	0	1
unbeaching	unbeach	PRS	0	0	0	0	1
unbeached	unbeach	PST	0	0	0	0	1
transvalues	transvalue	PRS	0	1	1	0	0
transvaluing	transvalue	PRS	0	0	0	0	1
transvalued	transvalue	PST	0	0	0	0	0
transvalued	transvalue	PST	0	0	0	0	1
unmuzzles	unmuzzle	PRS	0	1	1	0	0
unmuzzled	unmuzzle	PST	0	0	0	0	0
unmuzzled	unmuzzle	PST	0	0	0	0	1
toddles	toddle	PRS	0	1	1	0	0
toddling	toddle	PRS	0	0	0	0	1
toddled	toddle	PST	0	0	0	0	0
enhedged	enhedge	PST	0	0	0	0	0
enhedged	enhedge	PST	0	0	0	0	1
paraffinizes	paraffinize	PRS	0	1	1	0	0
paraffinizing	paraffinize	PRS	0	0	0	0	1
paraffinized	paraffinize	PST	0	0	0	0	1
grilling	grill	PRS	0	0	0	0	1
lactolating	lactolate	PRS	0	0	0	0	1
lactolated	lactolate	PST	0	0	0	0	0
lactolated	lactolate	PST	0	0	0	0	1
gestures	gesture	PRS	0	1	1	0	0
gestured	gesture	PST	0	0	0	0	0
briquettes	briquette	PRS	0	1	1	0	0
briquetting	briquette	PRS	0	0	0	0	1
briquetted	briquette	PST	0	0	0	0	1
undermargining	undermargin	PRS	0	0	0	0	1
undermargined	undermargin	PST	0	0	0	0	0
undermargined	undermargin	PST	0	0	0	0	1
dexified	dexify	PST	0	0	0	0	1
synflooded	synflood	PST	0	0	0	0	1
inlumined	inlumine	PST	0	0	0	0	0
inlumined	inlumine	PST	0	0	0	0	1
forefeeling	forefeel	PRS	0	0	0	0	1
forefelt	forefeel	PST	0	0	0	0	1
recarnified	recarnify	PST	0	0	0	0	0
digitizing	digitize	PRS	0	0	0	0	1
chicks	chick	PRS	0	1	1	0	0
chicking	chick	PRS	0	0	0	0	1
chicked	chick	PST	0	0	0	0	1
erythrolyzed	erythrolyze	PST	0	0	0	0	0
erythrolyzed	erythrolyze	PST	0	0	0	0	1
eluding	elude	PRS	0	0	0	0	1
eluded	elude	PST	0	0	0	0	0
uphangs	uphang	PRS	0	1	1	0	0
uphung	uphang	PST	0	0	0	0	0
uphung	uphang	PST	0	0	0	0	1
inquinated	inquinate	PST	0	0	0	0	0
waterlogs	waterlog	PRS	0	1	1	0	0
waterlogged	waterlog	PST	0	0	0	0	0
companes	compane	PRS	0	1	1	0	0
companed	compane	PST	0	0	0	0	0
overpressing	overpress	PRS	0	0	0	0	1
overpressed	overpress	PST	0	0	0	0	0
overpressed	overpress	PST	0	0	0	0	1
doorknocked	doorknock	PST	0	0	0	0	1
barbarizing	barbarize	PRS	0	0	0	0	1
barbarized	barbarize	PST	0	0	0	0	0
barbarized	barbarize	PST	0	0	0	0	1
backheads	backhead	PRS	0	1	1	0	0
backheading	backhead	PRS	0	0	0	0	1
backheaded	backhead	PST	0	0	0	0	0
autodecremented	autodecrement	PST	0	0	0	0	0
reimmunoprecipitates	reimmunoprecipitate	PRS	0	1	1	0	0
reimmunoprecipitated	reimmunoprecipitate	PST	0	0	0	0	1
unpopes	unpope	PRS	0	1	1	0	0
unpoping	unpope	PRS	0	0	0	0	1
unpoped	unpope	PST	0	0	0	0	1
tranquillized	tranquillize	PST	0	0	0	0	0
shies	shy	PRS	0	1	1	0	0
shying	shy	PRS	0	0	0	0	1
invokes	invoke	PRS	0	1	1	0	0
invoking	invoke	PRS	0	0	0	0	1
quething	quethe	PRS	0	0	0	0	1
quethed	quethe	PST	0	0	0	0	1
reintegrated	reintegrate	PST	0	0	0	0	1
magging	mag	PRS	0	0	0	0	1
magged	mag	PST	0	0	0	0	1
contrives	contrive	PRS	0	1	1	0	0
contriving	contrive	PRS	0	0	0	0	1
contrived	contrive	PST	0	0	0	0	0
bones	bone	PRS	0	1	1	0	0
boning	bone	PRS	0	0	0	0	1
vegetates	vegetate	PRS	0	1	1	0	0
begums	begum	PRS	0	1	1	0	0
begumming	begum	PRS	0	0	0	0	1
begummed	begum	PST	0	0	0	0	0
inlocks	inlock	PRS	0	1	1	0	0
inlocked	inlock	PST	0	0	0	0	1
weaving	weave	PRS	0	0	0	0	1
defibrinizing	defibrinize	PRS	0	0	0	0	1
retiling	retile	PRS	0	0	0	0	1
retiled	retile	PST	0	0	0	0	1
repiques	repique	PRS	0	1	1	0	0
repiquing	repique	PRS	0	0	0	0	1
repiqued	repique	PST	0	0	0	0	1
yeds	yed	PRS	0	1	1	0	0
yedded	yed	PST	0	0	0	0	0
debrominates	debrominate	PRS	0	1	1	0	0
debrominating	debrominate	PRS	0	0	0	0	1
debrominated	debrominate	PST	0	0	0	0	0
degrading	degrade	PRS	0	0	0	0	1
philanthropising	philanthropise	PRS	0	0	0	0	1
philanthropised	philanthropise	PST	0	0	0	0	0
philanthropised	philanthropise	PST	0	0	0	0	1
hijabifying	hijabify	PRS	0	0	0	0	1
viciates	viciate	PRS	0	1	1	0	0
viciated	viciate	PST	0	0	0	0	0
viciated	viciate	PST	0	0	0	0	1
ratching	ratch	PRS	0	0	0	0	1
ratched	ratch	PST	0	0	0	0	0
ratched	ratch	PST	0	0	0	0	1
suberising	suberise	PRS	0	0	0	0	1
suberised	suberise	PST	0	0	0	0	0
kyboshes	kybosh	PRS	0	1	1	0	0
kyboshed	kybosh	PST	0	0	0	0	0
reaudits	reaudit	PRS	0	1	1	0	0
reaudited	reaudit	PST	0	0	0	0	0
reaudited	reaudit	PST	0	0	0	0	1
wordsmithing	wordsmith	PRS	0	0	0	0	1
wordsmithed	wordsmith	PST	0	0	0	0	0
wordsmithed	wordsmith	PST	0	0	0	0	1
brandying	brandy	PRS	0	0	0	0	1
brandied	brandy	PST	0	0	0	0	0
colleaguing	colleague	PRS	0	0	0	0	1
colleagued	colleague	PST	0	0	0	0	0
colleagued	colleague	PST	0	0	0	0	1
rechartering	recharter	PRS	0	0	0	0	1
skinnies	skinny	PRS	0	1	1	0	0
skinnying	skinny	PRS	0	0	0	0	1
underarticulates	underarticulate	PRS	0	1	1	0	0
underarticulated	underarticulate	PST	0	0	0	0	0
hypersensitizes	hypersensitize	PRS	0	1	1	0	0
hypersensitizing	hypersensitize	PRS	0	0	0	0	1
hypersensitized	hypersensitize	PST	0	0	0	0	0
industrializes	industrialize	PRS	0	1	1	0	0
industrializing	industrialize	PRS	0	0	0	0	1
invisibilised	invisibilise	PST	0	0	0	0	0
invisibilised	invisibilise	PST	0	0	0	0	1
effaces	efface	PRS	0	1	1	0	0
effacing	efface	PRS	0	0	0	0	1
effaced	efface	PST	0	0	0	0	1
delocates	delocate	PRS	0	1	1	0	0
interstratifies	interstratify	PRS	0	1	1	0	0
interstratified	interstratify	PST	0	0	0	0	1
besieges	besiege	PRS	0	1	1	0	0
besieged	besiege	PST	0	0	0	0	1
pastiming	pastime	PRS	0	0	0	0	1
binged	binge	PST	0	0	0	0	0
binged	binge	PST	0	0	0	0	1
flubbing	flub	PRS	0	0	0	0	1
flubbed	flub	PST	0	0	0	0	0
props	prop	PRS	0	1	1	0	0
propping	prop	PRS	0	0	0	0	1
propped	prop	PST	0	0	0	0	0
exenterates	exenterate	PRS	0	1	1	0	0
exenterating	exenterate	PRS	0	0	0	0	1
exenterated	exenterate	PST	0	0	0	0	0
masterplans	masterplan	PRS	0	1	1	0	0
masterplanning	masterplan	PRS	0	0	0	0	1
inculpated	inculpate	PST	0	0	0	0	1
missignals	missignal	PRS	0	1	1	0	0
missignaling	missignal	PRS	0	0	0	0	1
missignaled	missignal	PST	0	0	0	0	1
harlequins	harlequin	PRS	0	1	1	0	0
harlequined	harlequin	PST	0	0	0	0	1
polygraphing	polygraph	PRS	0	0	0	0	1
polygraphed	polygraph	PST	0	0	0	0	1
resprays	respray	PRS	0	1	1	0	0
respraying	respray	PRS	0	0	0	0	1
resprayed	respray	PST	0	0	0	0	0
slishes	slish	PRS	0	1	1	0	0
bleezed	bleeze	PST	0	0	0	0	0
contaminates	contaminate	PRS	0	1	1	0	0
contaminated	contaminate	PST	0	0	0	0	0
graduating	graduate	PRS	0	0	0	0	1
graduated	graduate	PST	0	0	0	0	0
prelighting	prelight	PRS	0	0	0	0	1
prelit	prelight	PST	0	0	0	0	0
refactorizes	refactorize	PRS	0	1	1	0	0
refactorizing	refactorize	PRS	0	0	0	0	1
refactorized	refactorize	PST	0	0	0	0	0
refactorized	refactorize	PST	0	0	0	0	1
fabricates	fabricate	PRS	0	1	1	0	0
fabricating	fabricate	PRS	0	0	0	0	1
fabricated	fabricate	PST	0	0	0	0	0
fabricated	fabricate	PST	0	0	0	0	1
winches	winch	PRS	0	1	1	0	0
winching	winch	PRS	0	0	0	0	1
winched	winch	PST	0	0	0	0	1
vexes	vex	PRS	0	1	1	0	0
vexed	vex	PST	0	0	0	0	0
vexed	vex	PST	0	0	0	0	1
denized	denize	PST	0	0	0	0	1
underutilises	underutilise	PRS	0	1	1	0	0
underutilising	underutilise	PRS	0	0	0	0	1
underutilised	underutilise	PST	0	0	0	0	0
foreplanning	foreplan	PRS	0	0	0	0	1
foreplanned	foreplan	PST	0	0	0	0	0
foreplanned	foreplan	PST	0	0	0	0	1
sorbitized	sorbitize	PST	0	0	0	0	0
sorbitized	sorbitize	PST	0	0	0	0	1
pillioning	pillion	PRS	0	0	0	0	1
pillioned	pillion	PST	0	0	0	0	1
husks	husk	PRS	0	1	1	0	0
husked	husk	PST	0	0	0	0	0
asexualising	asexualise	PRS	0	0	0	0	1
enturbulating	enturbulate	PRS	0	0	0	0	1
enturbulated	enturbulate	PST	0	0	0	0	0
enturbulated	enturbulate	PST	0	0	0	0	1
productizes	productize	PRS	0	1	1	0	0
productizing	productize	PRS	0	0	0	0	1
productized	productize	PST	0	0	0	0	0
aviles	avile	PRS	0	1	1	0	0
aviling	avile	PRS	0	0	0	0	1
retabling	retable	PRS	0	0	0	0	1
retabled	retable	PST	0	0	0	0	0
retabled	retable	PST	0	0	0	0	1
spanes	spane	PRS	0	1	1	0	0
spaning	spane	PRS	0	0	0	0	1
spaned	spane	PST	0	0	0	0	0
publicates	publicate	PRS	0	1	1	0	0
publicated	publicate	PST	0	0	0	0	0
gobbles	gobble	PRS	0	1	1	0	0
gobbling	gobble	PRS	0	0	0	0	1
gobbled	gobble	PST	0	0	0	0	0
overedged	overedge	PST	0	0	0	0	1
couraging	courage	PRS	0	0	0	0	1
couraged	courage	PST	0	0	0	0	1
ingenerating	ingenerate	PRS	0	0	0	0	1
ingenerated	ingenerate	PST	0	0	0	0	0
ingenerated	ingenerate	PST	0	0	0	0	1
yexing	yex	PRS	0	0	0	0	1
yexed	yex	PST	0	0	0	0	0
yexed	yex	PST	0	0	0	0	1
dechurches	dechurch	PRS	0	1	1	0	0
dechurched	dechurch	PST	0	0	0	0	0
dechurched	dechurch	PST	0	0	0	0	1
serves	serve	PRS	0	1	1	0	0
serving	serve	PRS	0	0	0	0	1
served	serve	PST	0	0	0	0	0
served	serve	PST	0	0	0	0	1
foilboards	foilboard	PRS	0	1	1	0	0
foilboarded	foilboard	PST	0	0	0	0	0
foilboarded	foilboard	PST	0	0	0	0	1
rifles	rifle	PRS	0	1	1	0	0
rifling	rifle	PRS	0	0	0	0	1
underlooking	underlook	PRS	0	0	0	0	1
underlooked	underlook	PST	0	0	0	0	0
phosphorylating	phosphorylate	PRS	0	0	0	0	1
phosphorylated	phosphorylate	PST	0	0	0	0	0
phosphorylated	phosphorylate	PST	0	0	0	0	1
appealls	appeall	PRS	0	1	1	0	0
appealling	appeall	PRS	0	0	0	0	1
appealled	appeall	PST	0	0	0	0	1
imbezzles	imbezzle	PRS	0	1	1	0	0
imbezzled	imbezzle	PST	0	0	0	0	1
resoothes	resoothe	PRS	0	1	1	0	0
resoothed	resoothe	PST	0	0	0	0	0
resoothed	resoothe	PST	0	0	0	0	1
siled	sile	PST	0	0	0	0	1
underclothes	underclothe	PRS	0	1	1	0	0
underclothed	underclothe	PST	0	0	0	0	0
underclothed	underclothe	PST	0	0	0	0	1
retees	retee	PRS	0	1	1	0	0
reteed	retee	PST	0	0	0	0	0
reteed	retee	PST	0	0	0	0	1
mangonizing	mangonize	PRS	0	0	0	0	1
mangonized	mangonize	PST	0	0	0	0	0
mangonized	mangonize	PST	0	0	0	0	1
torobs	torob	PRS	0	1	1	0	0
torobbing	torob	PRS	0	0	0	0	1
torobbed	torob	PST	0	0	0	0	0
torobbed	torob	PST	0	0	0	0	1
complementizing	complementize	PRS	0	0	0	0	1
complementized	complementize	PST	0	0	0	0	0
depotentiates	depotentiate	PRS	0	1	1	0	0
depotentiating	depotentiate	PRS	0	0	0	0	1
depotentiated	depotentiate	PST	0	0	0	0	0
depotentiated	depotentiate	PST	0	0	0	0	1
cabobs	cabob	PRS	0	1	1	0	0
cabobbed	cabob	PST	0	0	0	0	1
concavates	concavate	PRS	0	1	1	0	0
concavated	concavate	PST	0	0	0	0	0
concavated	concavate	PST	0	0	0	0	1
tackified	tackify	PST	0	0	0	0	0
tackified	tackify	PST	0	0	0	0	1
overmodulates	overmodulate	PRS	0	1	1	0	0
overmodulated	overmodulate	PST	0	0	0	0	0
corporatising	corporatise	PRS	0	0	0	0	1
corporatised	corporatise	PST	0	0	0	0	1
scarlets	scarlet	PRS	0	1	1	0	0
scarleted	scarlet	PST	0	0	0	0	1
outlustres	outlustre	PRS	0	1	1	0	0
outlustring	outlustre	PRS	0	0	0	0	1
outlustred	outlustre	PST	0	0	0	0	0
twitting	twit	PRS	0	0	0	0	1
twitted	twit	PST	0	0	0	0	0
grotches	grotch	PRS	0	1	1	0	0
grotching	grotch	PRS	0	0	0	0	1
grotched	grotch	PST	0	0	0	0	1
demurs	demur	PRS	0	1	1	0	0
demurring	demur	PRS	0	0	0	0	1
demurred	demur	PST	0	0	0	0	0
untrapped	untrap	PST	0	0	0	0	1
squires	squire	PRS	0	1	1	0	0
resolvates	resolvate	PRS	0	1	1	0	0
resolvated	resolvate	PST	0	0	0	0	1
undersends	undersend	PRS	0	1	1	0	0
undersending	undersend	PRS	0	0	0	0	1
undersent	undersend	PST	0	0	0	0	0
undersent	undersend	PST	0	0	0	0	1
ameliorating	ameliorate	PRS	0	0	0	0	1
ameliorated	ameliorate	PST	0	0	0	0	0
ameliorated	ameliorate	PST	0	0	0	0	1
unsays	unsay	PRS	0	1	1	0	0
unsaying	unsay	PRS	0	0	0	0	1
unsaid	unsay	PST	0	0	0	0	0
desynapses	desynapse	PRS	0	1	1	0	0
gathers	gather	PRS	0	1	1	0	0
gathered	gather	PST	0	0	0	0	0
overshades	overshade	PRS	0	1	1	0	0
overshading	overshade	PRS	0	0	0	0	1
overshaded	overshade	PST	0	0	0	0	0
overshaded	overshade	PST	0	0	0	0	1
looing	loo	PRS	0	0	0	0	1
maturing	mature	PRS	0	0	0	0	1
matured	mature	PST	0	0	0	0	0
matured	mature	PST	0	0	0	0	1
prepositions	preposition	PRS	0	1	1	0	0
prepositioning	preposition	PRS	0	0	0	0	1
prepositioned	preposition	PST	0	0	0	0	0
neurotizes	neurotize	PRS	0	1	1	0	0
neurotizing	neurotize	PRS	0	0	0	0	1
neurotized	neurotize	PST	0	0	0	0	0
neurotized	neurotize	PST	0	0	0	0	1
flambees	flambee	PRS	0	1	1	0	0
flambeeing	flambee	PRS	0	0	0	0	1
brivets	brivet	PRS	0	1	1	0	0
briveted	brivet	PST	0	0	0	0	1
facsimiles	facsimile	PRS	0	1	1	0	0
facsimileing	facsimile	PRS	0	0	0	0	1
facsimiled	facsimile	PST	0	0	0	0	0
facsimiled	facsimile	PST	0	0	0	0	1
alkalinizing	alkalinize	PRS	0	0	0	0	1
amazing	amaze	PRS	0	0	0	0	1
amazed	amaze	PST	0	0	0	0	0
amazed	amaze	PST	0	0	0	0	1
commigrates	commigrate	PRS	0	1	1	0	0
commigrating	commigrate	PRS	0	0	0	0	1
commigrated	commigrate	PST	0	0	0	0	0
commigrated	commigrate	PST	0	0	0	0	1
singsongs	singsong	PRS	0	1	1	0	0
singsonging	singsong	PRS	0	0	0	0	1
singsonged	singsong	PST	0	0	0	0	0
singsonged	singsong	PST	0	0	0	0	1
unembeds	unembed	PRS	0	1	1	0	0
unembedded	unembed	PST	0	0	0	0	0
demedicalizes	demedicalize	PRS	0	1	1	0	0
demedicalized	demedicalize	PST	0	0	0	0	0
demedicalized	demedicalize	PST	0	0	0	0	1
flowers	flower	PRS	0	1	1	0	0
flowered	flower	PST	0	0	0	0	0
flowered	flower	PST	0	0	0	0	1
enfilades	enfilade	PRS	0	1	1	0	0
enfilading	enfilade	PRS	0	0	0	0	1
enfiladed	enfilade	PST	0	0	0	0	0
tides	tide	PRS	0	1	1	0	0
tiding	tide	PRS	0	0	0	0	1
tided	tide	PST	0	0	0	0	1
cuckoldizes	cuckoldize	PRS	0	1	1	0	0
cuckoldizing	cuckoldize	PRS	0	0	0	0	1
cuckoldized	cuckoldize	PST	0	0	0	0	0
cuckoldized	cuckoldize	PST	0	0	0	0	1
trinitizes	trinitize	PRS	0	1	1	0	0
hearses	hearse	PRS	0	1	1	0	0
hearsing	hearse	PRS	0	0	0	0	1
guerdoning	guerdon	PRS	0	0	0	0	1
guerdoned	guerdon	PST	0	0	0	0	1
multilingualizing	multilingualize	PRS	0	0	0	0	1
multilingualized	multilingualize	PST	0	0	0	0	0
outdrags	outdrag	PRS	0	1	1	0	0
mergesorts	mergesort	PRS	0	1	1	0	0
mergesorting	mergesort	PRS	0	0	0	0	1
mergesorted	mergesort	PST	0	0	0	0	0
affixes	affix	PRS	0	1	1	0	0
affixing	affix	PRS	0	0	0	0	1
affixed	affix	PST	0	0	0	0	0
affixed	affix	PST	0	0	0	0	1
kayaks	kayak	PRS	0	1	1	0	0
exhalates	exhalate	PRS	0	1	1	0	0
exhalated	exhalate	PST	0	0	0	0	1
impatronizes	impatronize	PRS	0	1	1	0	0
impatronized	impatronize	PST	0	0	0	0	0
impatronized	impatronize	PST	0	0	0	0	1
routles	routle	PRS	0	1	1	0	0
routling	routle	PRS	0	0	0	0	1
routled	routle	PST	0	0	0	0	1
esquiring	esquire	PRS	0	0	0	0	1
esquired	esquire	PST	0	0	0	0	0
esquired	esquire	PST	0	0	0	0	1
veejays	veejay	PRS	0	1	1	0	0
veejaying	veejay	PRS	0	0	0	0	1
veejayed	veejay	PST	0	0	0	0	0
overcelebrates	overcelebrate	PRS	0	1	1	0	0
overcelebrating	overcelebrate	PRS	0	0	0	0	1
overcelebrated	overcelebrate	PST	0	0	0	0	0
overcelebrated	overcelebrate	PST	0	0	0	0	1
topinches	topinch	PRS	0	1	1	0	0
manswears	manswear	PRS	0	1	1	0	0
manswearing	manswear	PRS	0	0	0	0	1
enwreathing	enwreathe	PRS	0	0	0	0	1
disponging	disponge	PRS	0	0	0	0	1
disponged	disponge	PST	0	0	0	0	0
disponged	disponge	PST	0	0	0	0	1
howels	howel	PRS	0	1	1	0	0
howelled	howel	PST	0	0	0	0	0
ferrets	ferret	PRS	0	1	1	0	0
