word	prefix	root	suffix
oversimplifies	over	simple	ify
oversimplifying	over	simple	ify
OVERSOFTNESS	over	soft	ness
overstatements	over	state	ment
octosyllabic	octo	syllab	ic
offhandedly	off	hand	ly
opposites	o	pose	ite
oppressions	o	press	ion
oppressor	o	press	or
NONDEFEATIST	non	defeat	ist
NONMAGICAL	non	magic	al
nonsmokers	non	smoke	er
obliterates	ob	litera	ate
obnoxiousness	ob	noxious	ness
multimillionaires	multi	million	aire
multifariously	multi	farious	ly
multifariousness	multi	farious	ness
monarchic	mono	arch	ic
monarchies	mono	arch	y
monogamists	mono	gam	ist
monomaniacs	mono	mania	iac
monopolist	mono	pol	ist
monopolizes	mono	pol	ize
monotheist	mono	theo	ist
misadventures	mis	advent	ure
misalliances	mis	ally	ance
misanthropist	mis	anthropo	ist
misanthropists	mis	anthropo	ist
misbehaviour	mis	behave	our
miscalculates	mis	calcul	ate
miscarriages	mis	carry	age
misdemeanour	mis	demean	our
misgovernment	mis	govern	ment
misinterpretations	mis	interpret	ion
MISINTERPRETERS	mis	interpret	er
misjudgements	mis	judge	ment
misleadingly	mis	lead	ly
misplacement	mis	place	ment
MISPLACEMENTS	mis	place	ment
misspelt	mis	spell	t
mistrustful	mis	trust	ful
megalithic	mega	lith	ic
mellifluous	melli	flu	ious
METABOLITE	meta	bol	ite
METABOLITES	meta	bol	ite
metabolizing	meta	bol	ize
metamorphosing	meta	morph	ose
MICROMETEORITE	micro	meteo	ite
maladroitness	mal	adroit	ness
MALOCCLUSION	mal	occlude	ion
interceptions	inter	cept	ion
intercommunicated	inter	communic	ate
intercommunicates	inter	communic	ate
interdictions	inter	dict	ion
interjections	inter	ject	ion
interloper	inter	lope	er
Internationale	inter	nation	ale
internationals	inter	nation	al
internee	in	tern	ee
internees	in	tern	ee
internment	in	tern	ment
internments	in	tern	ment
interpolating	inter	pol	ate
interpositions	inter	posit	ion
interrogated	inter	rog	ate
interrogates	inter	rog	ate
interrupters	inter	rupt	er
interrupter	inter	rupt	er
interurban	inter	urb	ian
interventions	inter	vene	ion
intimidates	in	timid	ate
intimidating	in	timid	ate
INTRANSIGENTS	im	transig	ant
intransitives	im	transit	ive
intransigence	im	transig	ance
intravenously	intra	venous	ly
intrepidities	im	trepid	ity
intrepidly	im	trepid	ly
invalidates	im	valid	ate
inversions	in	verse	ion
invertebrates	im	vertebr	ate
investiture	in	vest	ure
investitures	in	vest	ure
invigilate	in	vigil	ate
invigilated	in	vigil	ate
invigilates	in	vigil	ate
invigorated	in	vigor	ate
invincibly	im	vincible	y
irradiates	in	radio	ate
irresponsibly	im	responsible	y
indistinctness	im	distinct	ness
indoctrinates	in	doctrine	ate
indrawn	in	draw	n
inefficiently	im	efficient	ly
inessentials	im	essence	al
inevitability	im	evitable	ity
inexactitude	im	exact	itude
inexactitudes	im	exact	itude
inexactness	im	exact	ness
inexorability	im	exorable	ity
inexpiably	im	expiable	y
infallibility	im	fallible	ity
infelicitous	im	felic	itous
infinitude	im	fin	itude
infinitudes	im	fin	itude
infirmaries	im	firm	ory
inflictions	in	flict	ion
informalities	im	formal	ity
infrastructures	infra	struct	ure
infrequently	im	frequent	ly
inhalers	in	hale	er
inhumanely	im	humane	ly
injections	in	ject	ion
inquisitions	in	quire	ion
inscrutably	im	scrutable	y
inseminates	in	semin	ate
inseminating	in	semin	ate
insensate	im	sense	ate
insecurely	im	secure	ly
inseminated	in	semin	ate
insincerely	im	sincere	ly
insolvency	im	solve	ancy
inspectors	in	spect	or
instalments	in	stall	ment
instructress	in	struct	ess
instructresses	in	struct	ess
insufficiency	im	suffici	ancy
insurances	in	sure	ance
insurer	in	sure	er
insurers	in	sure	er
INTENDANTS	in	tend	ant
immersions	in	merse	ion
immigrates	in	migr	ate
immobilized	im	mobile	ize
immobilizes	im	mobile	ize
immodesties	im	modest	y
immodestly	im	modest	ly
immortals	im	mort	al
immutably	im	mutable	y
impalement	in	pale	ment
impecuniousness	im	pecunious	ness
impenitence	im	penit	ance
impenitent	im	penit	ant
impersonating	in	person	ate
impiously	im	pious	ly
implementations	in	plement	ion
imploringly	in	plore	ly
implosions	in	plode	ion
impolitely	im	polite	ly
importers	in	port	er
impositions	in	pose	ion
impossibilities	im	possible	ity
impoverishes	in	pover	ish
impregnated	in	pregn	ate
impregnates	in	pregn	ate
imprudences	im	prud	ance
impulsion	in	pulse	ion
inaptly	im	apt	ly
inaptness	im	apt	ness
inaugurates	in	augur	ate
incantations	in	cant	ion
incapability	im	capable	ity
incapably	im	capable	y
incarnates	in	carn	ate
incarnating	in	carn	ate
inceptions	in	cept	ion
INCEPTOR	in	cept	or
incinerated	in	ciner	ate
incinerates	in	ciner	ate
incinerating	in	ciner	ate
incisions	in	cise	ion
incompetents	im	compete	ant
incompatibly	im	compatible	y
inconsequently	im	consequent	ly
inconspicuousness	im	conspicuous	ness
inconstancies	im	constant	y
inconstancy	im	constant	y
incurables	im	cure	able
incursions	in	curse	ion
indecently	im	decent	ly
indelicacies	im	delic	acy
indentures	in	dent	ure
indenturing	in	dent	ure
hyperboles	hyper	bol	e
HYPERVELOCITY	hyper	veloc	ity
ignobly	im	noble	y
illegalities	im	legal	ity
illegally	im	legal	ly
illegibly	im	legible	y
illimitable	im	limit	able
illuminates	in	lumin	ate
immaturely	im	mature	ly
heptagonal	hepta	gon	al
foreshortened	fore	short	en
foreshortens	fore	short	en
forsworn	fore	swore	n
exterritorial	ex	territory	al
extortions	ex	tort	ion
extrajudicial	extra	judic	al
extrapolating	extra	pol	ate
estrangements	e	strange	ment
eulogies	eu	log	y
eulogist	eu	log	ist
eulogists	eu	log	ist
eulogizes	eu	log	ize
eulogizing	eu	log	ize
euphemisms	eu	phem	ism
euphonious	eu	phon	ious
euphonium	eu	phon	ium
euphoniums	eu	phon	ium
evacuates	e	vacu	ate
evacuees	e	vacu	e
evaporates	e	vapor	ate
evaporating	e	vapor	ate
eviscerated	e	viscer	ate
evolutions	e	volve	ion
exacerbating	ex	acerb	ate
excisions	ex	cise	ion
excogitating	ex	cogit	ate
excommunicates	ex	communic	ate
exculpated	ex	culp	ate
exculpating	ex	culp	ate
EXCURSUS	ex	curse	us
expatriated	ex	pater	ate
expatriating	ex	pater	ate
expectorants	ex	pector	ant
expectorates	ex	pector	ate
expedients	ex	ped	ant
expedites	ex	ped	ite
explosions	ex	plode	ion
exporter	ex	port	er
expostulates	ex	postul	ate
expostulating	ex	postul	ate
expropriates	ex	propri	ate
expropriating	ex	propri	ate
expurgate	ex	purge	ate
expurgated	ex	purge	ate
extemporized	ex	tempor	ize
extemporizes	ex	tempor	ize
extemporizing	ex	tempor	ize
extenuated	ex	tenu	ate
extenuates	ex	tenu	ate
exterminates	ex	termin	ate
engravers	en	grave	er
engrossingly	en	gross	ly
enlightens	en	light	en
enlistments	en	list	ment
enlivening	en	live	en
ennoblement	en	noble	ment
ENQUIRER	en	quire	er
enraptures	en	rapt	ure
ENROLLMENTS	en	roll	ment
enrolment	en	roll	ment
enrolments	en	roll	ment
entertainingly	inter	tain	ly
enthrallingly	en	thrall	ly
entitlements	en	title	ment
entombment	en	tomb	ment
entombments	en	tomb	ment
entrenchments	en	trench	ment
enumerates	e	numer	ate
enumerating	e	numer	ate
envisioning	en	vis	ion
EPIGENETIC	epi	gen	ic
eruptions	e	rupt	ion
ejectors	e	ject	or
elaborating	e	labor	ate
elongates	e	long	ate
elongating	e	long	ate
elucidates	e	lucid	ate
elucidating	e	lucid	ate
elucidations	e	lucid	ion
emasculates	e	mascul	ate
embalmer	en	balm	er
embalmers	en	balm	er
embankments	en	bank	ment
embellishes	en	bell	ish
embitterment	en	bitter	ment
emigrates	e	migr	ate
emigre	e	migr	e
emplacement	en	place	ment
enactments	en	act	ment
encampments	en	camp	ment
encapsulated	en	capsule	ate
encapsulates	en	capsule	ate
encapsulating	en	capsule	ate
encumbrance	en	cumber	ance
endearingly	en	dear	ly
duodecimal	duo	decim	al
duplicates	du	plic	ate
dyslexic	dys	lexic	ic
EDWINA	ed	win	a
effacement	e	face	ment
effectuating	e	fect	ate
effeminacy	e	femin	acy
efflorescing	e	flor	esc
downheartedly	down	heart	ly
disinfestation	dis	infest	ion
disintegrated	dis	integer	ate
disintegrates	dis	integer	ate
disloyalties	dis	loyal	ity
disinterestedly	dis	interest	ly
disinterestedness	dis	interest	ness
disinterments	dis	inter	ment
disloyally	dis	loyal	ly
dismissals	dis	miss	al
disobediently	dis	obedient	ly
disobligingly	dis	oblige	ly
disorientated	dis	orient	ate
disorganizing	dis	organ	ize
disorientate	dis	orient	ate
disorientates	dis	orient	ate
disorientating	dis	orient	ate
dispiritedly	di	spirit	ly
displacements	dis	place	ment
displeasingly	dis	please	ly
disqualifications	dis	qualify	ion
disquisition	dis	quire	ion
disquisitions	dis	quire	ion
dissections	di	sect	ion
dissembler	di	semble	er
dissemblers	di	semble	er
disseminates	dis	semin	ate
dissimulate	di	simul	ate
dissociates	dis	socio	ate
dissociating	dis	socio	ate
dissolutely	dis	solut	ly
dissoluteness	dis	solut	ness
distensions	dis	tend	ion
disunites	dis	un	ite
disyllables	di	syllab	le
divergences	di	verge	ance
divertingly	di	vert	ly
disablement	dis	able	ment
disablements	dis	able	ment
disadvantageous	dis	advantage	ious
disappointingly	dis	appoint	ly
disbandment	dis	band	ment
disclaimers	dis	claim	er
discolouration	dis	color	ion
discolourations	dis	color	ion
disconnectedly	dis	connect	ly
discontentedly	dis	content	ly
discontentments	dis	content	ment
discontinuities	dis	continue	ity
discouragements	dis	courage	ment
discouragingly	dis	courage	ly
discriminated	dis	crimin	ate
discriminates	dis	crimin	ate
disfranchisement	dis	franchise	ment
disheartens	dis	heart	en
dishonestly	dis	honest	ly
denotations	de	note	ion
denudation	de	nude	ion
deodorants	de	odor	ant
deodorizing	de	odor	ize
dependants	de	pend	ant
depictions	de	picto	ion
depopulated	de	popul	ate
depopulates	de	popul	ate
deportations	de	port	ion
depreciated	de	preci	ate
depreciating	de	preci	ate
depredate	de	pred	ate
depredated	de	pred	ate
depredates	de	pred	ate
derailments	de	rail	ment
derogated	de	rog	ate
derogating	de	rog	ate
desalinated	de	saline	ate
desalinates	de	saline	ate
desalinating	de	saline	ate
desalination	de	saline	ion
desalinized	de	saline	ize
desalinizes	de	saline	ize
desalinizing	de	saline	ize
desensitizing	de	sense	itize
deservedly	de	serve	ly
deservingly	de	serve	ly
detainees	de	tain	ee
detentions	de	tent	ion
dethronements	de	throne	ment
devaluates	de	value	ate
devaluating	de	value	ate
devitalized	de	vital	ize
devitalizing	de	vital	ize
declassifies	de	class	ify
declassifying	de	class	ify
decoders	de	code	er
decolonizes	de	colon	ize
decolonizing	de	colon	ize
DEDUCTABLE	de	duct	able
defections	de	fect	ion
defectors	de	fect	or
deflections	de	flect	ion
defoliant	de	foli	ant
defoliate	de	foli	ate
defoliated	de	foli	ate
defoliating	de	foli	ate
degeneracy	de	gener	acy
dehumanized	de	human	ize
dehumanizes	de	human	ize
dehumanizing	de	human	ize
dehydrates	de	hydro	ate
delimitate	de	limit	ate
delimitates	de	limit	ate
delimitation	de	limit	ion
delineates	de	line	ate
demagnetized	de	magnet	ize
demagnetizes	de	magnet	ize
demarcating	de	mark	ate
demigoddesses	demi	god	ess
demilitarized	de	militar	ize
demilitarizes	de	militar	ize
demister	de	mist	er
demisters	de	mist	er
demobilizes	de	mobile	ize
demobilized	de	mobile	ize
demobilizing	de	mobile	ize
demonetized	de	monet	ize
demystifying	de	myst	ify
demotions	de	mot	ion
denominating	de	nomin	ate
debasements	de	base	ment
debunkers	de	bunk	er
decapitated	de	capit	ate
decapitating	de	capit	ate
decarbonizes	de	carbon	ize
decarbonize	de	carbon	ize
decarbonizing	de	carbon	ize
decasyllabic	deca	syllab	ic
decasyllable	deca	syllab	le
deceiver	de	ceive	er
deceivers	de	ceive	er
deceivingly	de	ceive	ly
deceptions	de	cept	ion
cosignatories	co	sign	ory
cosignatory	co	sign	ory
contemporaneous	co	tempor	ious
conterminous	co	termin	ious
contestable	co	test	able
contortions	co	tort	ion
conurbations	co	urb	ion
convener	co	vene	er
convergences	co	verge	ance
converters	co	vert	er
convivial	co	vive	al
convolutions	co	volve	ion
corruptness	co	rupt	ness
composedly	co	pose	ly
compressible	co	press	able
compressors	co	press	or
concordances	co	cord	ance
concordat	co	cord	at
concordats	co	cord	at
conductresses	co	duct	ess
confections	co	fect	ion
confederacies	co	feder	acy
confederating	co	feder	ate
conflations	co	flate	ion
confluences	co	flu	ance
confoundedly	co	found	ly
confraternity	co	fratern	ity
congenially	co	genial	y
conglomerating	co	glomer	ate
congregating	co	greg	ate
conjunctures	co	junct	ure
conjurer	co	jur	er
conjurers	co	jur	er
consecrations	co	secrate	ion
conservancies	co	serve	ancy
conservatoires	co	serve	atoire
consolidates	co	solid	ate
constellated	co	stell	ate
constellating	co	stell	ate
constitutive	co	stitute	ive
constrictive	co	strict	ive
collaborates	co	labor	ate
collocate	co	loc	ate
collocated	co	loc	ate
collocating	co	loc	ate
commutable	co	mute	able
commutated	co	mute	ate
commutating	co	mute	ate
circumcisions	circum	cise	ion
circumnavigating	circum	navy	ate
centenaries	centi	ann	ory
centennials	centi	ann	al
BINUCLEAR	bi	nucleo	ar
bipartite	bi	part	ite
bisexuals	bi	sex	al
BEMADDENING	be	mad	en
benightedly	be	night	ly
besieger	be	siege	er
bespoken	be	spoke	en
bestrewn	be	strew	n
betaken	be	take	en
betrothals	be	troth	al
bicyclists	bi	cycle	ist
BIENNIUM	bi	ann	ium
bigamists	bi	gam	ist
bigamous	bi	gam	ious
bilabials	bi	labio	al
bilateralism	bi	lateral	ism
bilaterally	bi	lateral	ly
befallen	be	fall	en
befittingly	be	fit	ly
autonomies	auto	nomin	y
avenger	a	venge	er
avowedly	a	vow	ly
awakenings	a	wake	en
awoken	a	woke	en
backbiter	back	bite	er
backbiters	back	bite	er
backpedals	back	podo	al
backslider	back	slide	er
ascribable	a	script	able
aseptically	a	septic	ly
aspersion	a	sperse	ion
aspersions	a	sperse	ion
aspirates	a	spir	ate
aspirating	a	spir	ate
assortments	a	sort	ment
attenuated	a	tenu	ate
attributive	a	tribute	ive
attributives	a	tribute	ive
anticlockwise	anti	clock	wise
antipathies	anti	patho	y
antitheses	anti	thes	sis
antithetic	anti	thet	ic
antitoxins	anti	toxico	in
approximates	a	proxim	ate
approximating	a	proxim	ate
afforestation	a	forest	ion
affricates	a	frict	ate
agglomerating	a	glomer	ate
agglutinates	a	glutin	ate
agglutinate	a	glutin	ate
agglutinated	a	glutin	ate
aggrandized	a	grand	ize
annihilates	a	nihil	ate
annihilating	a	nihil	ate
annotated	a	note	ate
annotating	a	note	ate
annulments	a		ment
uproarious	up	roar	ious
utopia	u	top	ia
unknown	un	know	n
unknowns	un	know	n
unlawful	un	law	ful
unlikely	un	like	ly
unloader	un	load	er
unmagnified	un	magn	ify
unmanageable	un	manage	able
unmentionable	un	mention	able
unmeritorious	un	merit	ious
unmindful	un	mind	ful
unmotivated	un	motive	ate
unnameable	un	name	able
unnatural	un	nature	al
unofficial	un	office	al
unpleasant	un	please	ant
unreadable	un	read	able
unproblematic	un	problem	ic
unprocurable	un	procure	able
unpunished	un	pun	ish
unreasonable	un	reason	able
unrecoverable	un	recover	able
unreliable	un	rely	able
unrepentant	un	repent	ant
unresponsive	un	response	ive
unruly	un	rule	y
unsavory	un	savor	y
unscrupulous	un	scruple	ious
unseasonable	un	season	able
unseen	un	see	n
unselfish	un	self	ish
unservile	un	serve	ile
unshaven	un	shave	en
unsightly	un	sight	ly
unsinkable	un	sink	able
unsmilingly	un	smile	ly
unspecified	un	spec	ify
unsteadily	un	steady	ly
untenanted	un	ten	ant
unthematic	un	theme	ic
unsyllabic	un	syllab	ic
untenable	un	ten	able
untimely	un	time	ly
untouchable	un	touch	able
untraditional	un	tradition	al
untruthful	un	truth	ful
unwaveringly	un	waver	ly
unwholesome	un	whole	some
unwillingness	un	will	ness
unwisely	un	wise	ly
unwomanly	un	woman	ly
unworn	un	wore	n
upheaval	up	heave	al
upholders	up	hold	er
upholstery	up	holster	y
underachievers	under	achieve	er
underestimated	under	esteem	ate
underestimate	under	esteem	ate
undergrowth	under	grow	th
underhandedness	under	hand	ness
undertaken	under	take	en
undertaker	under	take	er
underweight	under	weigh	t
underwriter	under	write	er
undetectable	un	detect	able
undignified	un	dign	ify
undreamt	un	dream	t
undrinkable	un	drink	able
uneasy	un	ease	y
uneaten	un	eat	en
uneconomic	un	econom	ic
unemployable	un	employ	able
unendurable	un	endure	able
unenviable	un	envy	able
unerringly	un	err	ly
uneventful	un	event	ful
unimportant	un	import	ant
unfailingly	un	fail	ly
unfaithful	un	faith	ful
unfalteringly	un	falter	ly
unfamiliar	un	family	ar
unflappable	un	flap	able
unforgettable	un	forget	able
unfortunates	un	fortune	ate
unfriendly	un	friend	ly
unfrozen	un	froze	en
ungovernable	un	govern	able
ungracious	un	grace	ious
ungrateful	un	grat	ful
ungratified	un	grat	ify
unhappiest	un	happy	est
unhappiness	un	happy	ness
unhesitant	un	hesit	ant
unidentified	un	ident	ify
uniformly	uni	form	ly
unimaginative	un	imagine	ive
unimpeachable	un	impeach	able
unimaginable	un	imagine	able
uninominal	uni	nomin	al
unintelligible	un	intellig	able
universals	uni	verse	al
university's	uni	verse	ity
universities	uni	verse	ity
university	uni	verse	ity
unjustified	un	just	ify
unknowingly	un	know	ly
unambiguous	un	ambigu	ious
unachievable	un	achieve	able
unadulterated	un	adulter	ate
unaggressive	un	aggress	ive
unambiguity	un	ambigu	ity
unalienable	un	alien	able
unalterable	un	alter	able
unanswerable	un	answer	able
unappeasable	un	appease	able
unattractive	un	attract	ive
unauthentic	un	authent	ic
unawareness	un	aware	ness
unbeatable	un	beat	able
unbeliever	un	believe	er
unbidden	un	bid	en
unblinkingly	un	blink	ly
unceasingly	un	cease	ly
uncertainties	un	certain	ity
uncertainty	un	certain	ity
uncombable	un	comb	able
uncharitable	un	charit	able
unchristian	un	christ	ian
uncomfortable	un	comfort	able
uncommonly	un	common	ly
unconcernedly	un	concern	ly
unconquerable	un	conquer	able
uncontrollable	un	control	able
unconventional	un	convention	al
uncousinly	un	cousin	ly
uncritical	un	critic	al
undecorated	un	decor	ate
undeniable	un	deny	able
transmutation	trans	mute	ion
transparent	trans	par	ant
transplantable	trans	plant	able
transposition	trans	pose	ion
transsexual	trans	sex	al
transshipment	trans	ship	ment
transversely	trans	verse	ly
transvestite	trans	vest	ite
triangular	tri	angle	ar
trilingual	tri	lingu	al
tripartite	tri	part	ite
triplicate	tri	plic	ate
trajectory	trans	ject	ory
transactions	trans	act	ion
transcultural	trans	culture	al
transducer	trans	duct	er
transformable	trans	form	able
transformer	trans	form	er
transformers	trans	form	er
transfusion	trans	fuse	ion
transfusions	trans	fuse	ion
transistors	trans	sist	or
synchronize	syn	chrono	ize
synchronized	syn	chrono	ize
synchronous	syn	chrono	ious
synergism	syn	erg	ism
synonymous	syn	nym	ious
syntactically	syn	tactic	ly
synthesizes	syn	thes	ize
supernormal	super	norm	al
superscription	super	script	ion
supersensitive	super	sense	ive
supersonic	super	sono	ic
superstructure	super	struct	ure
supervision	super	vis	ion
supervisor	super	vise	or
supervisory	super	vise	ory
supplemental	su	plement	al
supposedly	su	pose	ly
supposition	su	pose	ion
suppositions	su	pose	ion
suppository	su	pose	ory
suppressor	su	press	or
supranational	super	nation	al
surrealism	sur	real	ism
surrealist	sur	real	ist
surveillance	sur	vey	ance
survivals	sur	vive	al
survivor	sur	vive	or
suspender	sus	pend	er
suspenders	sus	pend	er
symbiosis	sym	bio	sis
symmetry	sy	meter	y
sympathies	sym	patho	y
sympathized	sym	patho	ize
sympathizing	sym	patho	ize
symphonic	sym	phon	ic
symphonies	sym	phon	y
symphony	sym	phon	y
subatomic	sub	atom	ic
subcontinent	sub	contain	ant
subcontractor	sub	contract	or
subdivision	sub	divide	ion
subdivisions	sub	divide	ion
subhumanity	sub	human	ity
subjection	sub	ject	ion
subjective	sub	ject	ive
subliminal	sub	limin	al
submariners	sub	marin	er
submersion	sub	merse	ion
suborbital	sub	orbit	al
subordinate	sub	ordin	ate
subordinates	sub	ordin	ate
subscriber	sub	script	er
subscribers	sub	script	er
subscription	sub	script	ion
subsection	sub	sect	ion
subservience	sub	serve	ance
subsistence	sub	sist	ance
subsistent	sub	sist	ant
subsonic	sub	sono	ic
substitutions	sub	stitute	ion
substructure	sub	struct	ure
subversion	sub	vert	ion
subversive	sub	vert	ive
subversives	sub	vert	ive
supercilious	super	cili	ious
superfluity	super	flu	ity
superfluous	super	flu	ious
sojourner	so	journ	er
seducer	se	duct	er
seduction	se	duct	ion
segregated	se	greg	ate
segregating	se	greg	ate
semiquantitative	semi	quant	ive
